ALERT_ACCOUNT_DOES_NOT_HAVE_ENOUGH_FUNDS,"Ihr Konto hat kein ausreichendes Guthaben. ",,,,"Your account has insufficient funds."
ALERT_MOSAIC_IS_NOT_TRANSFERABLE,"Das ausgewählte Mosaik ist nicht übertragbar. ",,,,"The selected mosaic is not transferable."
ALERT_ONLY_MOBILE_DEVICE,"Diese Funktion ist nur auf mobilen Geräten verfügbar.",,,,"This functionality is only available in mobile devices."
ALERT_PHONE_DISCONNECTED,"Ihr Smartphone ist nicht mit dem Internet verbunden. ",,,,"Your phone is not connected to the internet."
ALERT_SUBTITLE_PHONE_DISCONNECTED,"Öffnen Sie die App erneut, sobald Sie eine Internetverbindung haben.",,,,"Open the app again once you have an internet connection."
ALERT_WALLET_IS_NOT_VALID_FOR_THIS_NETWORK,"Die Adresse ist nicht gültig für dieses Netzwerk. ",,,,"The address is not valid for this network."
ENTER_ALL_FIELDS,"Bitte füllen Sie alle Felder aus.",,,,"Please fill all the fields"
INVALID_PASSPHRASE,"Ungültiges Passphrase",,,,"Invalid Passphrase"
NOT_ENOUGH_HIT,"Kein ausreichendes Guthaben für diese Transaktion",,,,"Your wallet does not have enough DHP to complete this transaction."
GENDER,"Geschlecht ",,,,Gender
LOAD_MORE_TRANSACTION,"Mehr Transaktion laden.",,,,"Load more transactions"
LANGUAGES.en,"Englisch ",,,,English
LANGUAGES.de,"Deutsch ",,,,German
LANGUAGES.fr,"Französisch ",,,,French
LANGUAGES.ja,"Japanisch ",,,,Japanese
LANGUAGES.vi,"Vietnamesisch ",,,,Vietnamese
LANGUAGES.zh,"Chinesisch ",,,,Chinese
LANGUAGES.es,"Spanisch ",,,,Spanish
LANGUAGES_ONLY_SHOW_QUERY,Deutsch,,,,English
JANUARY,Januar,,,,January
FEBRUARY,Februar,,,,February
MARCH,März,,,,March
APRIL,April,,,,April
MAY,Mai,,,,May
JUNE,Juni,,,,June
JULY,Juli,,,,July
AUGUST,August,,,,August
SEPTEMBER,September,,,,September
OCTOBER,Oktober,,,,October
NOVEMBER,November,,,,November
DECEMBER,Dezember,,,,December
SMOKER_STATUS_NON_SMOKER,Nichtraucher,,,,Non-smoker
SMOKER_STATUS_OCCASIONAL,Gelegenheitsraucher,,,,Occasional
SMOKER_STATUS_REGULAR,"regelmässiger Raucher",,,,Regular
SMOKER_STATUS_HEAVY,"schwerer Raucher",,,,Heavy
PHYSICAL_ACTIVITY_LOW,Selten,,,,Low
PHYSICAL_ACTIVITY_OCCSIONAL_LIGHT,Gelegentlich,,,,"Occasional Light"
PHYSICAL_ACTIVITY_REGULAR,Regelmässig,,,,Regular
PHYSICAL_ACTIVITY_HIGHT,Oft,,,,High
cancel,Abbrechen,,,,Cancel
errormessage_error_occured,"Ein Fehler ist aufgetreten",,,,"An error has occurred"
errormessage_server_error_occured,"Ein Serverfehler ist aufgetreten",,,,"Server error occurred"
progress_dialog_wait_message,"Bitte warten…",,,,"Please wait…"
welcome,"Herzlich Willkommen",,,,"Welcome to"
welcome_content," ",,,," "
recover_existing_wallet,"Bestehendes Wallet wiederherstellen",,,,"Recover Existing Wallet"
create_new_wallet,"Neues Wallet erstellen",,,,"Create New Wallet"
recover_description,"Bitte geben Sie die Passphrase ein um Ihr Wallet wiederherzustellen",,,,"Please enter your backup phrase to recover your wallet."
backup_phrase_hint,"Bitte geben Sie Ihre Passphrase ein",,,,"Please enter your backup phrase"
backup_phrase_popup_title,"Haben Sie die Passphrase kopiert?",,,,"Have you copied and saved the backup phrase?"
backup_phrase_popup_message,"Falls nicht, kehren Sie zur vorherigen Seite zurück und kopieren Sie Ihre Passphrase. Sie können Ihr Wallet ohne die Passphrase nicht speichern",,,,"If not, please return to the previous screen and copy it. You will not be able to recover your wallet without it."
backup_phrase_popup_positive_button,Bestätigen,,,,Yes
