ALERT_ACCOUNT_DOES_NOT_HAVE_ENOUGH_FUNDS,"Su cuenta tiene fondos insuficientes.",,,,"Your account has insufficient funds."
ALERT_MOSAIC_IS_NOT_TRANSFERABLE,"El mosaico seleccionado no es transferible.",,,,"The selected mosaic is not transferable."
ALERT_ONLY_MOBILE_DEVICE,"Esta funcionalidad solo está disponible en dispositivos móviles.",,,,"This functionality is only available in mobile devices."
ALERT_PHONE_DISCONNECTED,"Su teléfono no está conectado a internet.",,,,"Your phone is not connected to the internet."
ALERT_SUBTITLE_PHONE_DISCONNECTED,"Abra la aplicación nuevamente una vez que tenga una conexión a Internet.",,,,"Open the app again once you have an internet connection."
ALERT_WALLET_IS_NOT_VALID_FOR_THIS_NETWORK,"La dirección no es válida para esta red.",,,,"The address is not valid for this network."
ENTER_ALL_FIELDS,"Por favor llene todos los campos",,,,"Please fill all the fields"
INVALID_PASSPHRASE,"Frase de contraseña inválida",,,,"Invalid Passphrase"
NOT_ENOUGH_HIT,"Su billetera no tiene suficiente DHP para completar esta transacción.",,,,"Your wallet does not have enough DHP to complete this transaction."
GENDER,Género,,,,Gender
LOAD_MORE_TRANSACTION,"Cargar más transacciones",,,,"Load more transactions"
LANGUAGES.en,Inglés,,,,English
LANGUAGES.de,alemán,,,,German
LANGUAGES.fr,francés,,,,French
LANGUAGES.ja,japonés,,,,Japanese
LANGUAGES.vi,vietnamita,,,,Vietnamese
LANGUAGES.zh,chino,,,,Chinese
LANGUAGES.es,Español,,,,Spanish
LANGUAGES_ONLY_SHOW_QUERY,Inglés,,,,English
JANUARY,enero,,,,January
FEBRUARY,febrero,,,,February
MARCH,marzo,,,,March
APRIL,abril,,,,April
MAY,Mayo,,,,May
JUNE,junio,,,,June
JULY,julio,,,,July
AUGUST,agosto,,,,August
SEPTEMBER,septiembre,,,,September
OCTOBER,octubre,,,,October
NOVEMBER,noviembre,,,,November
DECEMBER,diciembre,,,,December
SMOKER_STATUS_NON_SMOKER,"No fumador",,,,Non-smoker
SMOKER_STATUS_OCCASIONAL,Ocasional,,,,Occasional
SMOKER_STATUS_REGULAR,Regular,,,,Regular
SMOKER_STATUS_HEAVY,Pesado,,,,Heavy
PHYSICAL_ACTIVITY_LOW,Bajo,,,,Low
PHYSICAL_ACTIVITY_OCCSIONAL_LIGHT,"Luz ocasional",,,,"Occasional Light"
PHYSICAL_ACTIVITY_REGULAR,Regular,,,,Regular
PHYSICAL_ACTIVITY_HIGHT,Alto,,,,High
cancel,Cancelar,,,,Cancel
errormessage_error_occured,"Se ha producido un error",,,,"An error has occurred"
errormessage_server_error_occured,"Se produjo un error del servidor",,,,"Server error occurred"
progress_dialog_wait_message,"Por favor espera…",,,,"Please wait…"
welcome,"Bienvenido a",,,,"Welcome to"
welcome_content," ",,,," "
recover_existing_wallet,"Recuperar billetera existente",,,,"Recover Existing Wallet"
create_new_wallet,"Crear nueva billetera",,,,"Create New Wallet"
recover_description,"Ingrese su frase de respaldo para recuperar su billetera.",,,,"Please enter your backup phrase to recover your wallet."
backup_phrase_hint,"Por favor ingrese su frase de respaldo",,,,"Please enter your backup phrase"
backup_phrase_popup_title,"¿Ha copiado y guardado la frase de respaldo?",,,,"Have you copied and saved the backup phrase?"
backup_phrase_popup_message,"De lo contrario, regrese a la pantalla anterior y cópielo. No podrá recuperar su billetera sin ella.",,,,"If not, please return to the previous screen and copy it. You will not be able to recover your wallet without it."
backup_phrase_popup_positive_button,si,,,,Yes
backup_phrase_popup_negative_button,"No, regresa",,,,"No, go back"
recover_wallet,"Recuperar billetera",,,,"Recover Wallet"
recover_wallet_success,"¡La billetera se recuperó con éxito!",,,,"Wallet recovered successfully!"
pin_description,"Usa la aplicación sin un PIN. ADVERTENCIA: ¡Cualquier persona con acceso a su teléfono podrá acceder a esta aplicación y a su billetera DHP!",,,,"Use the app without a PIN. WARNING: Anyone with access to your phone will be able to access this app and your DHP Wallet!"
set_pin_title,"Configura el PIN de tu aplicación ",,,,"Set your App PIN "
step_1_2,"1/2 ",,,,"1 / 2 "
step_2_2,"2/2 ",,,,"2 / 2 "
set_app_pin_first_description_first,"Primero tenemos que configurar algunas cosas. ",,,,"First we need to set up a few things. "
set_app_pin_first_description_second,"Comencemos por configurar su PIN.",,,,"Let's start with setting your PIN."
enter_pin_again,"Ingrese PIN nuevamente",,,,"Enter PIN Again"
enter_pin_here,"Ingrese PIN aquí",,,,"Enter PIN here"
enter_pin_here_again,"Ingrese el PIN aquí nuevamente",,,,"Enter PIN here again"
pin_does_not_match,"El PIN no coincide. Intente nuevamente o regrese para establecer un PIN diferente.",,,,"PIN does not match. Try again or go back to set a different PIN."
create_wallet_step_1_3,"1/3 ",,,,"1 / 3 "
create_wallet_step_2_3,"2/3 ",,,,"2 / 3 "
create_wallet_step_3_3,"3/3 ",,,,"3 / 3 "
creating_back_up_phrase,"Creando tu frase de respaldo ",,,,"Creating your backup phrase "
backup_detail,"Para asegurar su cuenta, generaremos una frase de contraseña larga.",,,,"To secure your account, we will generate a long passphrase."
creating_randomness,"Generando aleatoriedad ... ",,,,"Generating randomness... "
tap_to_copy,"Toque para copiar! ",,,,"Tap to copy! "
remind_save_backup_phrase,"Guárdelo en un lugar seguro. Necesitará la frase de contraseña para recuperar su billetera si reinstala la aplicación ",,,,"Please save it in a secure location. You will need the passphrase to recover your wallet if you reinstall the app "
created_wallet_description,"Su billetera ha sido creada.",,,,"Your wallet has been created."
purpose_of_address,"Se utiliza para identificar su billetera. Los tokens de DHP que reciba se enviarán a esta dirección.",,,,"It is used to identify your wallet. DHP tokens you receive will be sent to this address."
view_wallet_address_later,"Puede ver su dirección más adelante en su billetera.",,,,"You can view your address later in your wallet."
mnemonic_title,"Confirmación mnemónica ",,,,"Mnemonic Confirmation "
backup_phrase_mnemonic_description,"Frase de respaldo: ",,,,"Backup phrase: "
select_all_words_mnemonic_anounce,"Por favor seleccione todas las palabras. ",,,,"Please select all words. "
words_select_mnemonic,"Confirme su frase de respaldo seleccionando las palabras en el orden correcto ",,,,"Please confirm your backup phrase by selecting words in the correct order "
verify_phone_number_title,"Verificar número de teléfono ",,,,"Verify Phone Number "
country_description,"País ",,,,"Country "
