ALERT_ACCOUNT_DOES_NOT_HAVE_ENOUGH_FUNDS,アカウントの残高が不足しています。,,,,"Your account has insufficient funds."
ALERT_MOSAIC_IS_NOT_TRANSFERABLE,選択したモザイクは転送できません。,,,,"The selected mosaic is not transferable."
ALERT_ONLY_MOBILE_DEVICE,この機能はモバイルデバイスでのみ使用できます。,,,,"This functionality is only available in mobile devices."
ALERT_PHONE_DISCONNECTED,スマートフォンがインターネットに接続されていません。,,,,"Your phone is not connected to the internet."
ALERT_SUBTITLE_PHONE_DISCONNECTED,インターネットに接続したら、アプリをもう一度開きます。,,,,"Open the app again once you have an internet connection."
ALERT_WALLET_IS_NOT_VALID_FOR_THIS_NETWORK,このアドレスはこのネットワークでは無効です。,,,,"The address is not valid for this network."
ENTER_ALL_FIELDS,すべてのフィールドに入力してください,,,,"Please fill all the fields"
INVALID_PASSPHRASE,無効なパスフレーズ,,,,"Invalid Passphrase"
NOT_ENOUGH_HIT,ウォレットには、このトランザクションを完了するのに十分なDHPがありません。,,,,"Your wallet does not have enough DHP to complete this transaction."
GENDER,性別,,,,Gender
LOAD_MORE_TRANSACTION,さらにトランザクションを読み込む,,,,"Load more transactions"
LANGUAGES.en,英語,,,,English
LANGUAGES.de,ドイツ人,,,,German
LANGUAGES.fr,フランス語,,,,French
LANGUAGES.ja,日本語,,,,Japanese
LANGUAGES.vi,ベトナム人,,,,Vietnamese
LANGUAGES.zh,中国人,,,,Chinese
LANGUAGES.es,スペイン語,,,,Spanish
LANGUAGES_ONLY_SHOW_QUERY,英語,,,,English
JANUARY,1月,,,,January
FEBRUARY,2月,,,,February
MARCH,行進,,,,March
APRIL,4月,,,,April
MAY,五月,,,,May
JUNE,六月,,,,June
JULY,七月,,,,July
AUGUST,八月,,,,August
SEPTEMBER,九月,,,,September
OCTOBER,10月,,,,October
NOVEMBER,11月,,,,November
DECEMBER,12月,,,,December
SMOKER_STATUS_NON_SMOKER,非喫煙者,,,,Non-smoker
SMOKER_STATUS_OCCASIONAL,たまに,,,,Occasional
SMOKER_STATUS_REGULAR,定期的,,,,Regular
SMOKER_STATUS_HEAVY,ヘビー,,,,Heavy
PHYSICAL_ACTIVITY_LOW,低,,,,Low
PHYSICAL_ACTIVITY_OCCSIONAL_LIGHT,ときどき光,,,,"Occasional Light"
PHYSICAL_ACTIVITY_REGULAR,定期的,,,,Regular
PHYSICAL_ACTIVITY_HIGHT,高い,,,,High
cancel,キャンセル,,,,Cancel
errormessage_error_occured,エラーが発生しました,,,,"An error has occurred"
errormessage_server_error_occured,サーバーエラーが発生しました,,,,"Server error occurred"
progress_dialog_wait_message,お待ちください…,,,,"Please wait…"
welcome,へようこそ,,,,"Welcome to"
welcome_content," ",,,," "
recover_existing_wallet,既存のウォレットを復元,,,,"Recover Existing Wallet"
create_new_wallet,新しいウォレットを作成,,,,"Create New Wallet"
recover_description,ウォレットを復元するには、バックアップフレーズを入力してください。,,,,"Please enter your backup phrase to recover your wallet."
backup_phrase_hint,バックアップフレーズを入力してください,,,,"Please enter your backup phrase"
backup_phrase_popup_title,バックアップフレーズをコピーして保存しましたか？,,,,"Have you copied and saved the backup phrase?"
backup_phrase_popup_message,そうでない場合は、前の画面に戻ってコピーしてください。あなたはそれなしであなたの財布を回復することはできません。,,,,"If not, please return to the previous screen and copy it. You will not be able to recover your wallet without it."
backup_phrase_popup_positive_button,はい,,,,Yes
backup_phrase_popup_negative_button,いいえ、戻ります,,,,"No, go back"
recover_wallet,ウォレットを復元,,,,"Recover Wallet"
recover_wallet_success,財布が正常に回復しました！,,,,"Wallet recovered successfully!"
pin_description,PINなしでアプリを使用します。警告：スマートフォンにアクセスできる人なら誰でも、このアプリとDHPウォレットにアクセスできます。,,,,"Use the app without a PIN. WARNING: Anyone with access to your phone will be able to access this app and your DHP Wallet!"
set_pin_title,"アプリのPINを設定する ",,,,"Set your App PIN "
step_1_2,"1/2 ",,,,"1 / 2 "
step_2_2,"2/2 ",,,,"2 / 2 "
set_app_pin_first_description_first,"まず、いくつかの設定を行う必要があります。 ",,,,"First we need to set up a few things. "
set_app_pin_first_description_second,PINの設定から始めましょう。,,,,"Let's start with setting your PIN."
enter_pin_again,PINをもう一度入力してください,,,,"Enter PIN Again"
enter_pin_here,ここにPINを入力してください,,,,"Enter PIN here"
enter_pin_here_again,ここにもう一度PINを入力してください,,,,"Enter PIN here again"
pin_does_not_match,PINが一致しません。もう一度試すか、戻って別のPINを設定してください。,,,,"PIN does not match. Try again or go back to set a different PIN."
create_wallet_step_1_3,"1/3 ",,,,"1 / 3 "
create_wallet_step_2_3,"2/3 ",,,,"2 / 3 "
create_wallet_step_3_3,"3/3 ",,,,"3 / 3 "
creating_back_up_phrase,"バックアップフレーズを作成する ",,,,"Creating your backup phrase "
backup_detail,アカウントを保護するために、長いパスフレーズを生成します。,,,,"To secure your account, we will generate a long passphrase."
creating_randomness,"ランダム性を生成しています... ",,,,"Generating randomness... "
tap_to_copy,"タップしてコピーしてください！ ",,,,"Tap to copy! "
remind_save_backup_phrase,"安全な場所に保存してください。アプリを再インストールする場合、ウォレットを回復するにはパスフレーズが必要になります ",,,,"Please save it in a secure location. You will need the passphrase to recover your wallet if you reinstall the app "
created_wallet_description,ウォレットが作成されました。,,,,"Your wallet has been created."
purpose_of_address,それはあなたの財布を識別するために使用されます。受け取ったDHPトークンはこのアドレスに送信されます。,,,,"It is used to identify your wallet. DHP tokens you receive will be sent to this address."
view_wallet_address_later,後から財布で住所を確認できます。,,,,"You can view your address later in your wallet."
mnemonic_title,"ニーモニックの確認 ",,,,"Mnemonic Confirmation "
backup_phrase_mnemonic_description,"バックアップフレーズ： ",,,,"Backup phrase: "
select_all_words_mnemonic_anounce,"すべての単語を選択してください。 ",,,,"Please select all words. "
words_select_mnemonic,"正しい順序で単語を選択して、バックアップフレーズを確認してください ",,,,"Please confirm your backup phrase by selecting words in the correct order "
verify_phone_number_title,"電話番号を確認 ",,,,"Verify Phone Number "
country_description,"国 ",,,,"Country "
phone_number_description,"電話番号 ",,,,"Phone Number "
get_access_code_btn,アクセスコードを取得,,,,"Get Access Code"
health_data_title,健康データ,,,,"Health Data"
location_description,ロケーション,,,,Location
physics_description,ベーシック,,,,Basic
health_description,健康,,,,Health
health_conditions_description,健康状態,,,,"Health Conditions"
location_explain,この情報は、関連する調査やオファーを提供するために必要です。情報が共有または送信されることはありません。,,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
physics_explain,この情報は、関連する調査やオファーを提供するために必要です。情報が共有または送信されることはありません。,,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
health_explain,この情報は、関連する調査やオファーを提供するために必要です。情報が共有または送信されることはありません。,,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
store_only_on_device,データはデバイスにのみ保存されます。このデータは共有または送信されません！,,,,"DATA STORED ON DEVICE ONLY. This data is not shared or transmitted!"
gender_question,あなたの性別はなんですか？,,,,"What's your gender?"
invalid_weight,無効な重量です！,,,,"Invalid weight!"
invalid_height,高さが無効です！,,,,"Invalid height!"
next_page_btn,次のページ,,,,"Next Page"
profile_btn,プロフィール,,,,Profile
done_btn,できた,,,,Done
transactions_description,"取引 ",,,,"Transactions "
invite_friend_sub_description_1,"に得る ",,,,"Get up to "
invite_friend_sub_description_2,"参加するすべての連絡先のDHP！ ",,,,"DHP for every contact who joins! "
new_available_queries,"新しい利用可能： ",,,,"new available: "
you_have_no_queries_yet,"承認されたクエリはまだありません ",,,,"You have no accepted queries yet "
do_some_fancy_questionnaire,"クエリは、参加するとここに表示されます ",,,,"Queries will be listed here when you participate in them "
title_show_all,"すべて表示する ",,,,"Show all "
your_inbox_is_empty,"受信トレイにアイテムがありません。 ",,,,"No items in inbox. "
please_check_back_later,"着信クエリはここにリストされます。 ",,,,"Incoming queries will be listed here. "
information_query_detail_description,"情報 ",,,,"Information "
time_need,"必要な時間： ",,,,"Time needed: "
available_until,"まで利用可能： ",,,,"Available until: "
app_profile_setting,"設定 ",,,,"Settings "
enter_your_pin_pin_page,"PINを入力してください ",,,,"Enter your PIN "
enter_your_back_up_phrase,"バックアップフレーズを入力： ",,,,"Enter Backup Phrase: "
my_wallet_is_long_hex_string,"私のバックアップは長い16進文字列です ",,,,"My backup is a long hex string "
enter_pin_to_show_backup,アプリのPINを入力してパスフレーズを明らかにしてください,,,,"Enter your app PIN to reveal the passphrase"
enter_pin_to_show_private_key,アプリのPINを入力して秘密キーを公開します,,,,"Enter your app PIN to reveal the private Key"
pending_transactions,"保留中 ",,,,"Pending "
help_agreement_btn,"助けて ",,,,"Help "
receive_token,"DHPトークンを受け取る ",,,,"Receive DHP tokens "
purpose_query_detail,"目的： ",,,,"Purpose: "
redeem_highlights_new,"ハイライト： ",,,,"Highlights: "
receive_token_title,"トークンを受け取る ",,,,"Receive tokens "
address_description_receive_token_page,"これはあなたの住所です： ",,,,"This is your address: "
tap_copy_address_description,DHPトークンを受け取る,,,,"to receive DHP tokens"
scan_qr_description,"カスタムQRコードを使用して住所を提供します。 ",,,,"Provide your address with custom QR code: "
hex_back_up_phrase,"16進バックアップフレーズ： ",,,,"Hex back up phrase: "
referral_link_description,"これはあなたの紹介リンクです： ",,,,"This is your referral link: "
referral_instruction_1,連絡先をCentivaに招待する,,,,"Invite your contact to Centiva"
referral_instruction_2,上のリンクをタップしてコピーし、連絡先に送信できる招待メールまたはインスタントメッセージに貼り付けてください,,,,"Just tap the link above to copy it and paste the link in an invitation email or instant message that you can send to your contact"
save_back_up_phrase_title,"バックアップフレーズを保存 ",,,,"Save Backup Phrase "
save_mnemonic_description,"このニーモニックバックアップフレーズを安全な場所に保存してください。アプリを再インストールする場合、ウォレットを回復するにはパスフレーズが必要になります。 ",,,,"Please save this Mnemonic backup phrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app. "
save_passphrase_description,バックアップパスフレーズをコピーして安全な場所に保存してください。アプリを再インストールする場合、ウォレットを回復するにはパスフレーズが必要になります。,,,,"Please copy and save your backup passphrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app."
next_word_match,"次へ：単語の一致 ",,,,"Next: Word Match "
recipient,"受取人 ",,,,"Recipient "
hit_available_amount,"利用可能な量： ",,,,"Available Amount: "
tx_fee,"取引料金： ",,,,"Transaction fee: "
xem_available,利用可能なXEM：,,,,"Available XEM:"
add_xem_to_your_wallet,"ウォレットにXEMを追加します。クリック ",,,,"Add XEM to your wallet. Click "
for_instruction,"手順については。 ",,,,"for instructions. "
recipient_address_description,"受取人の住所： ",,,,"Recipient address: "
transaction_summary,"取引概要 ",,,,"Transaction summary "
sent_description,"送信しました ",,,,"Sent "
ok_cool_btn,"うんいいね！ ",,,,Ok
detail_description,"詳細： ",,,,"Details: "
message_description,"メッセージ： ",,,,"Message: "
transaction_id,"取引ID ",,,,"Transaction ID "
action_description,"行動： ",,,,"Actions: "
send_token_btn_tx_detail,"DHPトークンを送信する ",,,,"Send DHP tokens "
receive_token_btn_tx_detail,"DHPトークンを受け取る ",,,,"Receive DHP tokens "
scan_code_btn_tx_detail,"コードをスキャン ",,,,"Scan Code "
redemption_info_title,"引き換え情報 ",,,,"Redemption Info "
access_code_description,"アクセスコード ",,,,"Access Code "
wallet_passphrase_title,"ウォレットパスフレーズ ",,,,"Wallet Passphrase "
warning_descript_1,"利用可能なセキュリティアップデート ",,,,"Security Update available "
warning_descript_2,"今すぐ新しいニーモニックバックアップフレーズを作成します。 ",,,,"Create your new mnemonic backup phrase now. "
wallet_private_key_title,"ウォレットの秘密鍵 ",,,,"Wallet Private Key "
INVALID_ACCESS_CODE_TITLE,"無効なアクセスコード ",,,,"Invalid access code "
INVALID_ACCESS_CODE_CONTENT,"正しいアクセスコードを入力してください ",,,,"Please make sure you enter the correct access code "
transaction_confirm_title,"確認 ",,,,"Confirm "
button_negative_send,"送信しないでください ",,,,"Don't send "
request_camera_permission_title,"カメラにアクセスできません ",,,,"Cannot access the Camera "
request_camera_permission_sub_title,"Centivaにはカメラにアクセスする権限がありません。 QRコードスキャナーを使用できるように権限を付与してください。<br> [設定]に移動=> [Centiva]を選択=> [カメラへのアクセスを許可] ",,,,"Centiva doesn't have permission to access the camera. Please grant the permission so you can use the QR code scanner.<br>Go to 'Settings' => Choose 'Centiva' => Allow access 'Camera' "
button_positive_permission,"アクセスを許可します ",,,,"Allow access "
birth_month_selector,"誕生月 ",,,,"Birth Month "
birth_year_selector,"生年 ",,,,"Birth Year "
denied_query_btn,"拒否されました ",,,,"Denied "
continue_btn,"継続する ",,,,"Continue "
copy_address_success,住所コードがコピーされました！,,,,"Address code copied!"
receive_tx_detail_title,受け取りました,,,,Received
transaction_detail_redemption,（償還）,,,,(Redemption)
warning_create_wallet_back_up_1,ウォレットのバックアップ,,,,"Wallet Backup"
warning_create_wallet_back_up_2,ウォレットのバックアップを今すぐ作成してください。,,,,"Create you wallet backup now."
words_not_match_message,単語が一致しません,,,,"Words do not match"
tap_here,ここをタップ,,,,"Tap here"
change_to_mnemonic_toast_notification,正常に保存！,,,,"Saved successfully!"
current_pin_title,現在のPINを入力してください,,,,"Enter your current PIN"
new_pin_title,新しいPINを入力してください,,,,"Enter new PIN"
set_pin,PINを設定,,,,"Set PIN"
skip,スキップ,,,,Skip
change_pin,PINを変更,,,,"Change PIN"
generate_randomness,ウォレットのセキュリティのために乱数を生成する,,,,"Generating random numbers for wallet security"
next,次,,,,Next
backup_phrase,バックアップフレーズ,,,,"Backup Phrase"
copy_phrase,フレーズをコピー,,,,"Copy Phrase"
backup_phrase_description,これがあなたのバックアップフレーズです,,,,"Here is your backup phrase"
public_key,公開鍵,,,,"Public Key"
public_key_description,トランザクションを生成し、認証の目的でデジタル署名を生成するために、アプリによって内部的に使用されます。,,,,"Used internally by the app to generate transactions and to generate digital signatures for the purposes of authentication."
private_key,秘密鍵,,,,"Private Key"
private_key_description,アプリによって内部的に使用され、ウォレットでDHPトークンを保護および使用します。注意深く保護する必要があります。,,,,"Used internally by the app to secure and spend DHP tokens in your wallet. It should be carefully guarded."
wallet_address_description,ウォレットが作成されました。ウォレットのアドレスを以下に示します。それはあなたの財布を識別するために使用されます。受け取ったトークンはこのアドレスに送信されます。,,,,"Your wallet has been created. Your wallet address is shown below. It is used to identify your wallet. Tokens you receive will be sent to this address."
wallet_address,ウォレットアドレス,,,,"Wallet Address"
verify_phone_description,携帯電話番号を確認するために、SMSでアクセスコードを送信します。,,,,"We will send you an access code via SMS for mobile number verification."
your_mobile_number,あなたの携帯電話番号,,,,"Your Mobile Number"
resend_sms_code,SMSコードを再送信,,,,"Resend SMS Code"
get_sms_code,SMSコードを取得,,,,"Get SMS Code"
verify_code_description,以下に確認コードを入力してください。,,,,"Enter your verification code below."
verify_code,コードを確認する,,,,"Verify Code"
enter_sms_code,SMSコードを入力してください,,,,"Enter SMS Code"
set_pin_again_title,PINをもう一度入力してください,,,,"Enter your PIN again"
title_home,ホーム,,,,Home
