ALERT_ACCOUNT_DOES_NOT_HAVE_ENOUGH_FUNDS,"На вашому рахунку недостатньо коштів.",,,,"Your account has insufficient funds."
ALERT_MOSAIC_IS_NOT_TRANSFERABLE,"Обрана мозаїка не підлягає передачі.",,,,"The selected mosaic is not transferable."
ALERT_ONLY_MOBILE_DEVICE,"Даний функціонал доступний тільки для мобільних пристроїв.",,,,"This functionality is only available in mobile devices."
ALERT_PHONE_DISCONNECTED,"Ваш телефон не підключений до інтернету.",,,,"Your phone is not connected to the internet."
ALERT_SUBTITLE_PHONE_DISCONNECTED,"Відкрийте додаток знову, коли під'єднаєтесь до інтернету.",,,,"Open the app again once you have an internet connection."
ALERT_WALLET_IS_NOT_VALID_FOR_THIS_NETWORK,"Адреса недійсна для цієї мережі.",,,,"The address is not valid for this network."
ENTER_ALL_FIELDS,"Будь ласка, заповніть усі поля",,,,"Please fill all the fields"
INVALID_PASSPHRASE,"Невірна фраза-пароль",,,,"Invalid Passphrase"
NOT_ENOUGH_HIT,"Ваш гаманець має недостатньо DHP, щоб завершити транзакцію.",,,,"Your wallet does not have enough DHP to complete this transaction."
GENDER,Стать,,,,Gender
LOAD_MORE_TRANSACTION,"Завантажте більше транзакцій",,,,"Load more transactions"
LANGUAGES.en,Англійська,,,,English
LANGUAGES.de,Німецька,,,,German
LANGUAGES.fr,Французька,,,,French
LANGUAGES.ja,Японська,,,,Japanese
LANGUAGES.vi,В'єтнамська,,,,Vietnamese
LANGUAGES.zh,Китайська,,,,Chinese
LANGUAGES.es,Іспанська,,,,Spanish
LANGUAGES_ONLY_SHOW_QUERY,Англійська,,,,English
JANUARY,Січень,,,,January
FEBRUARY,Лютий,,,,February
MARCH,Березень,,,,March
APRIL,Квітень,,,,April
MAY,Травень,,,,May
JUNE,Червень,,,,June
JULY,Липень,,,,July
AUGUST,Серпень,,,,August
SEPTEMBER,Вересень,,,,September
OCTOBER,Жовтень,,,,October
NOVEMBER,Листопад,,,,November
DECEMBER,Грудень,,,,December
SMOKER_STATUS_NON_SMOKER,Некурець,,,,Non-smoker
SMOKER_STATUS_OCCASIONAL,Нерегулярно,,,,Occasional
SMOKER_STATUS_REGULAR,Регулярно,,,,Regular
SMOKER_STATUS_HEAVY,Часто,,,,Heavy
PHYSICAL_ACTIVITY_LOW,Низька,,,,Low
PHYSICAL_ACTIVITY_OCCSIONAL_LIGHT,Легка,,,,"Occasional Light"
PHYSICAL_ACTIVITY_REGULAR,Регулярна,,,,Regular
PHYSICAL_ACTIVITY_HIGHT,Висока,,,,High
cancel,Закрити,,,,Cancel
errormessage_error_occured,"Сталася помилка",,,,"An error has occurred"
errormessage_server_error_occured,"Сталась помилка на сервері",,,,"Server error occurred"
progress_dialog_wait_message,"Будь ласка, зачекайте...",,,,"Please wait…"
welcome,"Ласкаво просимо до",,,,"Welcome to"
welcome_content," ",,,," "
recover_existing_wallet,"Відновити існуючий гаманець",,,,"Recover Existing Wallet"
create_new_wallet,"Створити новий гаманець",,,,"Create New Wallet"
recover_description,"Будь ласка, введіть резервну фразу для відновлення вашого гаманця.",,,,"Please enter your backup phrase to recover your wallet."
backup_phrase_hint,"Будь ласка, введіть вашу резервну фразу",,,,"Please enter your backup phrase"
backup_phrase_popup_title,"Ви скопіювали та зберегли резервну фразу?",,,,"Have you copied and saved the backup phrase?"
backup_phrase_popup_message,"Якщо ні, поверніться на попередній екран та скопіюйте його. Ви не зможете відновити свій гаманець без нього.",,,,"If not, please return to the previous screen and copy it. You will not be able to recover your wallet without it."
backup_phrase_popup_positive_button,Так,,,,Yes
backup_phrase_popup_negative_button,"Ні, повернутись назад",,,,"No, go back"
recover_wallet,"Відновити гаманець",,,,"Recover Wallet"
recover_wallet_success,"Гаманець успішно відновлено!",,,,"Wallet recovered successfully!"
pin_description,"Користуватись додатком без PIN-коду. ПОПЕРЕДЖЕННЯ. Усі, хто має доступ до вашого телефону, зможуть отримати доступ до цієї програми та вашого DHP гаманця!",,,,"Use the app without a PIN. WARNING: Anyone with access to your phone will be able to access this app and your DHP Wallet!"
set_pin_title,"Встановити PIN-код для додатку",,,,"Set your App PIN "
step_1_2,"1 / 2",,,,"1 / 2 "
step_2_2,"2 / 2",,,,"2 / 2 "
set_app_pin_first_description_first,"Спочатку нам потрібно налаштувати кілька речей.",,,,"First we need to set up a few things. "
set_app_pin_first_description_second,"Почнемо з встановлення вашого PIN-коду.",,,,"Let's start with setting your PIN."
enter_pin_again,"Знову введіть PIN-код",,,,"Enter PIN Again"
enter_pin_here,"Введіть тут PIN-код",,,,"Enter PIN here"
enter_pin_here_again,"Тут ще раз введіть PIN-код",,,,"Enter PIN here again"
pin_does_not_match,"PIN-код не співпадає. Повторіть спробу або поверніться, щоб встановити інший PIN-код.",,,,"PIN does not match. Try again or go back to set a different PIN."
create_wallet_step_1_3,"1 / 3",,,,"1 / 3 "
create_wallet_step_2_3,"2 / 3",,,,"2 / 3 "
create_wallet_step_3_3,"3 / 3",,,,"3 / 3 "
creating_back_up_phrase,"Створення резервної фрази",,,,"Creating your backup phrase "
backup_detail,"Щоб захистити ваш обліковий запис, ми створимо довгу фразу-пароль.",,,,"To secure your account, we will generate a long passphrase."
creating_randomness,"Випадкове генерування...",,,,"Generating randomness... "
tap_to_copy,"Торкніться, щоб скопіювати!",,,,"Tap to copy! "
remind_save_backup_phrase,"Будь ласка, збережіть його в безпечному місці. Якщо ви перевстановите додаток, вам знадобиться пароль, щоб відновити гаманець",,,,"Please save it in a secure location. You will need the passphrase to recover your wallet if you reinstall the app "
created_wallet_description,"Ваш гаманець створено.",,,,"Your wallet has been created."
purpose_of_address,"Він використовується для ідентифікації вашого гаманця. Отримані токени DHP будуть надіслані на цю адресу.",,,,"It is used to identify your wallet. DHP tokens you receive will be sent to this address."
view_wallet_address_later,"Ви можете переглянути свою адресу у гаманці пізніше.",,,,"You can view your address later in your wallet."
mnemonic_title,"Мнемонічне підтвердження",,,,"Mnemonic Confirmation "
backup_phrase_mnemonic_description,"Резервна фраза:",,,,"Backup phrase: "
select_all_words_mnemonic_anounce,"Будь ласка, виберіть усі слова",,,,"Please select all words. "
words_select_mnemonic,"Будь ласка, підтвердьте свою резервну фразу, вибравши усі слова в правильному порядку.",,,,"Please confirm your backup phrase by selecting words in the correct order "
verify_phone_number_title,"Підтвердьте номер телефону",,,,"Verify Phone Number "
country_description,Країна,,,,"Country "
phone_number_description,"Номер телефону",,,,"Phone Number "
get_access_code_btn,"Отримати код доступу",,,,"Get Access Code"
health_data_title,"Дані про здоров'я",,,,"Health Data"
location_description,Розташування,,,,Location
physics_description,Основні,,,,Basic
health_description,Здоров'я,,,,Health
health_conditions_description,"Стан здоров'я",,,,"Health Conditions"
location_explain,"Ця інформація потрібна для надання відповідних досліджень та пропозицій. Інформація ніколи не передаватиметься.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
physics_explain,"Ця інформація потрібна для надання відповідних досліджень та пропозицій. Інформація ніколи не передаватиметься.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
health_explain,"Ця інформація потрібна для надання відповідних досліджень та пропозицій. Інформація ніколи не передаватиметься.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
store_only_on_device,"ДАНІ ЗБЕРІГАЮТЬСЯ ТІЛЬКИ НА ПРИСТРОЇ. Ці дані нікуди не передаються!",,,,"DATA STORED ON DEVICE ONLY. This data is not shared or transmitted!"
gender_question,"Яка ваша стать?",,,,"What's your gender?"
invalid_weight,"Невірна вага!",,,,"Invalid weight!"
invalid_height,"Невірний ріст!",,,,"Invalid height!"
next_page_btn,"Наступна сторінка",,,,"Next Page"
profile_btn,Профіль,,,,Profile
done_btn,Готово,,,,Done
transactions_description,Транзакції,,,,"Transactions "
invite_friend_sub_description_1,"Оформити для ",,,,"Get up to "
invite_friend_sub_description_2,"DHP для кожного контакту, який приєднається! ",,,,"DHP for every contact who joins! "
new_available_queries,"доступні нові: ",,,,"new available: "
you_have_no_queries_yet,"У вас ще немає прийнятих запитів ",,,,"You have no accepted queries yet "
do_some_fancy_questionnaire,"Тут будуть перераховані запити, якщо ви берете в них участь ",,,,"Queries will be listed here when you participate in them "
title_show_all,"Показати всі ",,,,"Show all "
your_inbox_is_empty,"У папці ""Вхідні"" немає елементів. ",,,,"No items in inbox. "
please_check_back_later,"Тут будуть вказані вхідні запити. ",,,,"Incoming queries will be listed here. "
information_query_detail_description,"Інформація ",,,,"Information "
time_need,"Необхідний час: ",,,,"Time needed: "
available_until,"Доступно до ",,,,"Available until: "
app_profile_setting,"Налаштування ",,,,"Settings "
enter_your_pin_pin_page,"Введіть ваш PIN-код ",,,,"Enter your PIN "
enter_your_back_up_phrase,"Введіть вашу резервну фразу: ",,,,"Enter Backup Phrase: "
my_wallet_is_long_hex_string,"Моя резервна копія - це довгий шістнадцятковий рядок ",,,,"My backup is a long hex string "
enter_pin_to_show_backup,"Введіть PIN-код додатку, щоб побачити фразу-пароль",,,,"Enter your app PIN to reveal the passphrase"
enter_pin_to_show_private_key,"Введіть PIN-код додатку, щоб побачити приватний ключ",,,,"Enter your app PIN to reveal the private Key"
pending_transactions,"В очікуванні ",,,,"Pending "
help_agreement_btn,"Допомога ",,,,"Help "
receive_token,"Отримати DHP токени ",,,,"Receive DHP tokens "
purpose_query_detail,"Призначення: ",,,,"Purpose: "
redeem_highlights_new,"Основні моменти: ",,,,"Highlights: "
receive_token_title,"Отримати токени ",,,,"Receive tokens "
address_description_receive_token_page,"Це ваша адреса: ",,,,"This is your address: "
tap_copy_address_description,"для отримання DHP токену",,,,"to receive DHP tokens"
scan_qr_description,"Надайте свою адресу спеціальним QR-кодом: ",,,,"Provide your address with custom QR code: "
hex_back_up_phrase,"Шістнадцяткова резервна фраза: ",,,,"Hex back up phrase: "
referral_link_description,"Це ваше посилання для запрошення:",,,,"This is your referral link: "
referral_instruction_1,"Запросіть свій контакт до Centiva",,,,"Invite your contact to Centiva"
referral_instruction_2,"Просто торкніться посилання вище, щоб скопіювати його та вставити в електронний лист із запрошенням або миттєвим повідомленням, яке ви можете надіслати своєму контакту",,,,"Just tap the link above to copy it and paste the link in an invitation email or instant message that you can send to your contact"
save_back_up_phrase_title,"Зберегти резервну фразу ",,,,"Save Backup Phrase "
save_mnemonic_description,"Збережіть цю мнемонічну резервну фразу в безпечному місці. Якщо ви перевстановите додаток, вам знадобиться пароль, щоб відновити гаманець. ",,,,"Please save this Mnemonic backup phrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app. "
save_passphrase_description,"Скопіюйте та збережіть резервну парольну фразу в захищеному місці. Якщо ви перевстановите додаток, вам знадобиться пароль, щоб відновити гаманець.",,,,"Please copy and save your backup passphrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app."
next_word_match,"Далі: Збіг слова ",,,,"Next: Word Match "
recipient,"Одержувач ",,,,"Recipient "
hit_available_amount,"Доступна сума: ",,,,"Available Amount: "
tx_fee,"Плата за транзакцію: ",,,,"Transaction fee: "
xem_available,"Доступний XEM:",,,,"Available XEM:"
add_xem_to_your_wallet,"Додайте XEM у свій гаманець. Натисніть ",,,,"Add XEM to your wallet. Click "
for_instruction,"для інструкцій. ",,,,"for instructions. "
recipient_address_description,"Адреса одержувача: ",,,,"Recipient address: "
transaction_summary,"Підсумок транзакцій ",,,,"Transaction summary "
sent_description,"Надісланий ",,,,"Sent "
ok_cool_btn,"ОК, чудово!",,,,Ok
detail_description,"Деталі: ",,,,"Details: "
message_description,"Повідомлення: ",,,,"Message: "
transaction_id,"ID транзакції ",,,,"Transaction ID "
action_description,"Дії: ",,,,"Actions: "
send_token_btn_tx_detail,"Надсилайте токени DHP ",,,,"Send DHP tokens "
receive_token_btn_tx_detail,"Отримуйте токени DHP ",,,,"Receive DHP tokens "
scan_code_btn_tx_detail,"Сканувати код ",,,,"Scan Code "
redemption_info_title,"Інформація щодо викупу ",,,,"Redemption Info "
access_code_description,"Код доступу ",,,,"Access Code "
wallet_passphrase_title,"Фраза-пароль для гаманця ",,,,"Wallet Passphrase "
warning_descript_1,"Доступне оновлення безпеки ",,,,"Security Update available "
warning_descript_2,"Створіть вашу нову мнемонічну фразу для відновлення зараз. ",,,,"Create your new mnemonic backup phrase now. "
wallet_private_key_title,"Приватний ключ до гаманця ",,,,"Wallet Private Key "
INVALID_ACCESS_CODE_TITLE,"Неправильний код доступу ",,,,"Invalid access code "
INVALID_ACCESS_CODE_CONTENT,"Будь ласка, переконайтесь, що ви вводите правильний код доступу ",,,,"Please make sure you enter the correct access code "
transaction_confirm_title,"Підтвердити ",,,,"Confirm "
button_negative_send,"Не надсилати ",,,,"Don't send "
request_camera_permission_title,"Немає доступу до Камери ",,,,"Cannot access the Camera "
request_camera_permission_sub_title,"Centiva не має дозволу на доступ до камери. Будь ласка, надайте дозвіл, щоб ви могли використовувати сканер QR-коду.<br>Перейдіть до 'Налаштувань' => Оберіть 'Centiva' => Дозволити доступ до  'Камери'",,,,"Centiva doesn't have permission to access the camera. Please grant the permission so you can use the QR code scanner.<br>Go to 'Settings' => Choose 'Centiva' => Allow access 'Camera' "
button_positive_permission,"Дозволити доступ ",,,,"Allow access "
birth_month_selector,"Місяць народження ",,,,"Birth Month "
birth_year_selector,"Рік народження ",,,,"Birth Year "
denied_query_btn,"Відмовлено ",,,,"Denied "
continue_btn,"Продовжити ",,,,"Continue "
copy_address_success,"Адресний код скопійовано!",,,,"Address code copied!"
receive_tx_detail_title,Отримано,,,,Received
transaction_detail_redemption,(Викуп),,,,(Redemption)
warning_create_wallet_back_up_1,"Резервна копія гаманця",,,,"Wallet Backup"
