ALERT_ACCOUNT_DOES_NOT_HAVE_ENOUGH_FUNDS,"Tài khoản của bạn không đủ số dư",,,,"Your account has insufficient funds."
ALERT_MOSAIC_IS_NOT_TRANSFERABLE,"Mosaic này không thể trao đổi",,,,"The selected mosaic is not transferable."
ALERT_ONLY_MOBILE_DEVICE,"Chức năng này chỉ có trên thiết bị mobile",,,,"This functionality is only available in mobile devices."
ALERT_PHONE_DISCONNECTED,"Điện thoại của bạn không thể kết nối mạng",,,,"Your phone is not connected to the internet."
ALERT_SUBTITLE_PHONE_DISCONNECTED,"Khởi động lại ứng dụng khi bạn có kết nối mạng",,,,"Open the app again once you have an internet connection."
ALERT_WALLET_IS_NOT_VALID_FOR_THIS_NETWORK,"Địa chỉ không hợp lệ cho mạng này",,,,"The address is not valid for this network."
ENTER_ALL_FIELDS,"Vui lòng nhập đầy đủ thông tin",,,,"Please fill all the fields"
INVALID_PASSPHRASE,"Sai cú pháp mã sao lưu",,,,"Invalid Passphrase"
NOT_ENOUGH_HIT,"Ví của bạn không đủ DHP để thực hiện giao dịch",,,,"Your wallet does not have enough DHP to complete this transaction."
GENDER,"Giới tính",,,,Gender
LOAD_MORE_TRANSACTION,"Hiển thị thêm giao dịch",,,,"Load more transactions"
LANGUAGES.en,"Tiếng Anh",,,,English
LANGUAGES.de,"Tiếng Đức",,,,German
LANGUAGES.fr,"Tiếng Pháp",,,,French
LANGUAGES.ja,"Tiếng Nhật Bản",,,,Japanese
LANGUAGES.vi,"Tiếng Việt",,,,Vietnamese
LANGUAGES.zh,"Tiếng Trung",,,,Chinese
LANGUAGES.es,"Tiếng Tây Ban Nha",,,,Spanish
LANGUAGES_ONLY_SHOW_QUERY,"Tiếng Anh",,,,English
JANUARY,"Tháng Một",,,,January
FEBRUARY,"Tháng Hai",,,,February
MARCH,"Tháng Ba",,,,March
APRIL,"Tháng Tư",,,,April
MAY,"Tháng Năm",,,,May
JUNE,"Tháng Sáu",,,,June
JULY,"Tháng Bảy",,,,July
AUGUST,"Tháng Tám",,,,August
SEPTEMBER,"Tháng Chín",,,,September
OCTOBER,"Tháng Mười",,,,October
NOVEMBER,"Tháng Mười Một",,,,November
DECEMBER,"Tháng Mười Hai",,,,December
SMOKER_STATUS_NON_SMOKER,"Không hút thuốc",,,,Non-smoker
SMOKER_STATUS_OCCASIONAL,"Thỉnh thoảng",,,,Occasional
SMOKER_STATUS_REGULAR,"Thường xuyên",,,,Regular
SMOKER_STATUS_HEAVY,Nhiều,,,,Heavy
PHYSICAL_ACTIVITY_LOW,"Hiếm khi",,,,Low
PHYSICAL_ACTIVITY_OCCSIONAL_LIGHT,"Thỉnh thoảng",,,,"Occasional Light"
PHYSICAL_ACTIVITY_REGULAR,"Thường xuyên",,,,Regular
PHYSICAL_ACTIVITY_HIGHT,Nhiều,,,,High
cancel,"Hủy bỏ",,,,Cancel
errormessage_error_occured,"Xảy ra lỗi",,,,"An error has occurred"
errormessage_server_error_occured,"Đã xảy ra lỗi máy chủ",,,,"Server error occurred"
progress_dialog_wait_message,"Vui lòng chờ…",,,,"Please wait…"
welcome,"Chào mừng",,,,"Welcome to"
welcome_content," ",,,," "
recover_existing_wallet,"Khôi phục ví hiện tại",,,,"Recover Existing Wallet"
create_new_wallet,"Tạo ví mới",,,,"Create New Wallet"
recover_description,"Vui lòng nhập mã sao lưu để khôi phục ví của bạn.",,,,"Please enter your backup phrase to recover your wallet."
backup_phrase_hint,"Vui lòng nhập mã sao lưu của bạn",,,,"Please enter your backup phrase"
backup_phrase_popup_title,"Bạn đã sao chép và lưu mã khôi phục?",,,,"Have you copied and saved the backup phrase?"
backup_phrase_popup_message,"Nếu chưa, vui lòng trở về trang trước và sao chép. Bạn sẽ không thể khổi phục ví nếu không có mã khôi phục",,,,"If not, please return to the previous screen and copy it. You will not be able to recover your wallet without it."
backup_phrase_popup_positive_button,"Đồng ý",,,,Yes
backup_phrase_popup_negative_button,"Không, quay lại",,,,"No, go back"
recover_wallet,"Khôi phục ví",,,,"Recover Wallet"
recover_wallet_success,"Khôi phục ví thành công",,,,"Wallet recovered successfully!"
pin_description,"Không sử dụng mã PIN cho ứng dụng. CẢNH BÁO: Nếu không cài đặt mã PIN, bất kỳ ai truy cập vào điện thoại của bạn đều có thể truy cập ứng dụng này và ví DHP của bạn!",,,,"Use the app without a PIN. WARNING: Anyone with access to your phone will be able to access this app and your DHP Wallet!"
set_pin_title,"Thiết lập mã PIN cho ứng dụng",,,,"Set your App PIN "
step_1_2,"1 / 2",,,,"1 / 2 "
step_2_2,"2 / 2",,,,"2 / 2 "
set_app_pin_first_description_first,"Hãy bắt đầu với môt vài thứ trước!",,,,"First we need to set up a few things. "
set_app_pin_first_description_second,"Đầu tiên hãy tạo mã PIN ",,,,"Let's start with setting your PIN."
enter_pin_again,"Nhập lại mã PIN",,,,"Enter PIN Again"
enter_pin_here,"Nhập mã PIN tại đây",,,,"Enter PIN here"
enter_pin_here_again,"Nhập lại mã PIN lần nữa",,,,"Enter PIN here again"
pin_does_not_match,"Mã PIN không trùng khớp. Vui lòng nhập lại, hoặc trở về trang trước thiết lập mã PIN mới",,,,"PIN does not match. Try again or go back to set a different PIN."
create_wallet_step_1_3,"1 / 3",,,,"1 / 3 "
create_wallet_step_2_3,"2 / 3",,,,"2 / 3 "
create_wallet_step_3_3,"3 / 3",,,,"3 / 3 "
creating_back_up_phrase,"Tạo mã khôi phục tài khoản",,,,"Creating your backup phrase "
backup_detail,"Để giữ cho tài khoản của bạn được bảo mật, chúng tôi đã tạo một đoạn mã dài gồm nhiều ký tự",,,,"To secure your account, we will generate a long passphrase."
creating_randomness,"Tạo ngẫu nhiên",,,,"Generating randomness... "
tap_to_copy,"Ấn vào để sao chép",,,,"Tap to copy! "
remind_save_backup_phrase,"Vui lòng sao chép và lưu trữ cẩn thận. Bạn sẽ cần đoạn mã này để  khôi phục tài khoản của bạn trong trường hợp xóa và hoặc cài đặt lại ứng dụng",,,,"Please save it in a secure location. You will need the passphrase to recover your wallet if you reinstall the app "
created_wallet_description,"Ví của bạn đã được tạo",,,,"Your wallet has been created."
purpose_of_address,"Dùng để xác định ví của bạn. Bạn sẽ nhận được Tokens gửi tới địa chỉ này",,,,"It is used to identify your wallet. DHP tokens you receive will be sent to this address."
view_wallet_address_later,"Bạn có thể xem lại địa chỉ sau - trong ví của bạn.",,,,"You can view your address later in your wallet."
mnemonic_title,"Xác nhận mã khôi phục",,,,"Mnemonic Confirmation "
backup_phrase_mnemonic_description,"Mã khôi phục:",,,,"Backup phrase: "
select_all_words_mnemonic_anounce,"Vui lòng nhập đầy đủ các từ",,,,"Please select all words. "
words_select_mnemonic,"Vui lòng chọn các từ dưới đây theo đúng thứ tự để tạo mã khôi phục",,,,"Please confirm your backup phrase by selecting words in the correct order "
verify_phone_number_title,"Xác minh bằng số điện thoại",,,,"Verify Phone Number "
country_description,"Quốc gia",,,,"Country "
phone_number_description,"Số điện thoại",,,,"Phone Number "
get_access_code_btn,"Nhận mã truy cập",,,,"Get Access Code"
health_data_title,"Thông tin sức khỏe",,,,"Health Data"
location_description,"Vị trí",,,,Location
physics_description,"Cơ bản",,,,Basic
health_description,"Sức khỏe",,,,Health
health_conditions_description,"Tình trạng sức khỏe",,,,"Health Conditions"
