ALERT_ACCOUNT_DOES_NOT_HAVE_ENOUGH_FUNDS,您的帐户资金不足。,,,,"Your account has insufficient funds."
ALERT_MOSAIC_IS_NOT_TRANSFERABLE,所选镶嵌图不可转让。,,,,"The selected mosaic is not transferable."
ALERT_ONLY_MOBILE_DEVICE,此功能仅在移动设备中可用。,,,,"This functionality is only available in mobile devices."
ALERT_PHONE_DISCONNECTED,您的电话未连接到互联网。,,,,"Your phone is not connected to the internet."
ALERT_SUBTITLE_PHONE_DISCONNECTED,建立互联网连接后，再次打开该应用。,,,,"Open the app again once you have an internet connection."
ALERT_WALLET_IS_NOT_VALID_FOR_THIS_NETWORK,该地址对该网络无效。,,,,"The address is not valid for this network."
ENTER_ALL_FIELDS,请填写所有字段,,,,"Please fill all the fields"
INVALID_PASSPHRASE,密码无效,,,,"Invalid Passphrase"
NOT_ENOUGH_HIT,您的钱包没有足够的DHP来完成此交易。,,,,"Your wallet does not have enough DHP to complete this transaction."
GENDER,性别,,,,Gender
LOAD_MORE_TRANSACTION,加载更多交易,,,,"Load more transactions"
LANGUAGES.en,英语,,,,English
LANGUAGES.de,德语,,,,German
LANGUAGES.fr,法文,,,,French
LANGUAGES.ja,日本,,,,Japanese
LANGUAGES.vi,越南文,,,,Vietnamese
LANGUAGES.zh,中文,,,,Chinese
LANGUAGES.es,西班牙文,,,,Spanish
LANGUAGES_ONLY_SHOW_QUERY,英语,,,,English
JANUARY,一月,,,,January
FEBRUARY,二月,,,,February
MARCH,游行,,,,March
APRIL,四月,,,,April
MAY,可以,,,,May
JUNE,六月,,,,June
JULY,七月,,,,July
AUGUST,八月,,,,August
SEPTEMBER,九月,,,,September
OCTOBER,十月,,,,October
NOVEMBER,十一月,,,,November
DECEMBER,十二月,,,,December
SMOKER_STATUS_NON_SMOKER,非吸烟者,,,,Non-smoker
SMOKER_STATUS_OCCASIONAL,偶然,,,,Occasional
SMOKER_STATUS_REGULAR,定期,,,,Regular
SMOKER_STATUS_HEAVY,重,,,,Heavy
PHYSICAL_ACTIVITY_LOW,低,,,,Low
PHYSICAL_ACTIVITY_OCCSIONAL_LIGHT,偶尔的光,,,,"Occasional Light"
PHYSICAL_ACTIVITY_REGULAR,定期,,,,Regular
PHYSICAL_ACTIVITY_HIGHT,高,,,,High
cancel,取消,,,,Cancel
errormessage_error_occured,发生了错误,,,,"An error has occurred"
errormessage_server_error_occured,发生服务器错误,,,,"Server error occurred"
progress_dialog_wait_message,请稍候…,,,,"Please wait…"
welcome,欢迎来到,,,,"Welcome to"
welcome_content," ",,,," "
recover_existing_wallet,恢复现有钱包,,,,"Recover Existing Wallet"
create_new_wallet,创建新钱包,,,,"Create New Wallet"
recover_description,请输入您的备用短语以恢复您的钱包。,,,,"Please enter your backup phrase to recover your wallet."
backup_phrase_hint,请输入您的备用短语,,,,"Please enter your backup phrase"
backup_phrase_popup_title,您是否复制并保存了备份短语？,,,,"Have you copied and saved the backup phrase?"
backup_phrase_popup_message,如果没有，请返回上一个屏幕并进行复制。没有它，您将无法找回钱包。,,,,"If not, please return to the previous screen and copy it. You will not be able to recover your wallet without it."
backup_phrase_popup_positive_button,是,,,,Yes
backup_phrase_popup_negative_button,不，回去,,,,"No, go back"
recover_wallet,恢复钱包,,,,"Recover Wallet"
recover_wallet_success,钱包恢复成功！,,,,"Wallet recovered successfully!"
pin_description,使用不带PIN的应用。警告：有权访问您手机的任何人都可以访问此应用程序和DHP钱包！,,,,"Use the app without a PIN. WARNING: Anyone with access to your phone will be able to access this app and your DHP Wallet!"
set_pin_title,"设置您的应用PIN ",,,,"Set your App PIN "
step_1_2,"1/2 ",,,,"1 / 2 "
step_2_2,"2/2 ",,,,"2 / 2 "
set_app_pin_first_description_first,"首先，我们需要设置一些内容。 ",,,,"First we need to set up a few things. "
set_app_pin_first_description_second,让我们从设置PIN开始。,,,,"Let's start with setting your PIN."
enter_pin_again,再次输入PIN码,,,,"Enter PIN Again"
enter_pin_here,在这里输入PIN码,,,,"Enter PIN here"
enter_pin_here_again,在此处再次输入PIN,,,,"Enter PIN here again"
pin_does_not_match,PIN码不匹配。重试或返回以设置其他PIN。,,,,"PIN does not match. Try again or go back to set a different PIN."
create_wallet_step_1_3,"1/3 ",,,,"1 / 3 "
create_wallet_step_2_3,"2/3 ",,,,"2 / 3 "
create_wallet_step_3_3,"3/3 ",,,,"3 / 3 "
creating_back_up_phrase,"创建备份短语 ",,,,"Creating your backup phrase "
backup_detail,为了确保您的帐户安全，我们将生成一个长密码短语。,,,,"To secure your account, we will generate a long passphrase."
creating_randomness,"产生随机性... ",,,,"Generating randomness... "
tap_to_copy,"点按即可复制！ ",,,,"Tap to copy! "
remind_save_backup_phrase,"请将其保存在安全的位置。如果您重新安装该应用，则需要密码来恢复您的钱包 ",,,,"Please save it in a secure location. You will need the passphrase to recover your wallet if you reinstall the app "
created_wallet_description,您的钱包已创建。,,,,"Your wallet has been created."
purpose_of_address,用于识别您的钱包。您收到的DHP令牌将发送到该地址。,,,,"It is used to identify your wallet. DHP tokens you receive will be sent to this address."
view_wallet_address_later,您稍后可以在钱包中查看地址。,,,,"You can view your address later in your wallet."
mnemonic_title,"助记符确认 ",,,,"Mnemonic Confirmation "
backup_phrase_mnemonic_description,"备用词组： ",,,,"Backup phrase: "
select_all_words_mnemonic_anounce,"请选择所有单词。 ",,,,"Please select all words. "
words_select_mnemonic,"请按正确的顺序选择单词以确认您的备用短语 ",,,,"Please confirm your backup phrase by selecting words in the correct order "
verify_phone_number_title,"验证电话号码 ",,,,"Verify Phone Number "
country_description,"国家 ",,,,"Country "
phone_number_description,"电话号码 ",,,,"Phone Number "
get_access_code_btn,获取访问代码,,,,"Get Access Code"
health_data_title,健康数据,,,,"Health Data"
location_description,位置,,,,Location
physics_description,基本的,,,,Basic
health_description,健康,,,,Health
health_conditions_description,健康状况,,,,"Health Conditions"
location_explain,需要这些信息才能为您提供相关的研究和报价。该信息永远不会共享或传输。,,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
physics_explain,需要这些信息才能为您提供相关的研究和报价。该信息永远不会共享或传输。,,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
health_explain,需要这些信息才能为您提供相关的研究和报价。该信息永远不会共享或传输。,,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
store_only_on_device,数据仅存储在设备上。此数据不共享或传输！,,,,"DATA STORED ON DEVICE ONLY. This data is not shared or transmitted!"
gender_question,什么是你的性别？,,,,"What's your gender?"
invalid_weight,体重无效！,,,,"Invalid weight!"
invalid_height,无效的高度！,,,,"Invalid height!"
next_page_btn,下一页,,,,"Next Page"
profile_btn,轮廓,,,,Profile
done_btn,完成,,,,Done
transactions_description,"交易次数 ",,,,"Transactions "
invite_friend_sub_description_1,"起床 ",,,,"Get up to "
invite_friend_sub_description_2,"加入DHP的每个联系人！ ",,,,"DHP for every contact who joins! "
new_available_queries,"新的可用： ",,,,"new available: "
you_have_no_queries_yet,"您还没有接受的查询 ",,,,"You have no accepted queries yet "
do_some_fancy_questionnaire,"当您参与查询时，查询将在此处列出 ",,,,"Queries will be listed here when you participate in them "
title_show_all,"显示所有 ",,,,"Show all "
your_inbox_is_empty,"收件箱中没有项目。 ",,,,"No items in inbox. "
please_check_back_later,"传入查询将在此处列出。 ",,,,"Incoming queries will be listed here. "
information_query_detail_description,"信息 ",,,,"Information "
time_need,"所需时间： ",,,,"Time needed: "
available_until,"有效期至： ",,,,"Available until: "
app_profile_setting,"设定值 ",,,,"Settings "
enter_your_pin_pin_page,"输入密码 ",,,,"Enter your PIN "
enter_your_back_up_phrase,"输入备份短语： ",,,,"Enter Backup Phrase: "
my_wallet_is_long_hex_string,"我的备份是一个很长的十六进制字符串 ",,,,"My backup is a long hex string "
enter_pin_to_show_backup,输入您的应用PIN码以显示密码,,,,"Enter your app PIN to reveal the passphrase"
enter_pin_to_show_private_key,输入您的应用PIN码以显示私钥,,,,"Enter your app PIN to reveal the private Key"
pending_transactions,"待定 ",,,,"Pending "
help_agreement_btn,"帮帮我 ",,,,"Help "
receive_token,"接收DHP令牌 ",,,,"Receive DHP tokens "
purpose_query_detail,"目的： ",,,,"Purpose: "
redeem_highlights_new,"强调： ",,,,"Highlights: "
receive_token_title,"接收令牌 ",,,,"Receive tokens "
address_description_receive_token_page,"这是您的地址： ",,,,"This is your address: "
tap_copy_address_description,接收DHP代币,,,,"to receive DHP tokens"
scan_qr_description,"为您的地址提供自定义QR码： ",,,,"Provide your address with custom QR code: "
hex_back_up_phrase,"十六进制备份词组： ",,,,"Hex back up phrase: "
referral_link_description,"这是您的引荐链接： ",,,,"This is your referral link: "
referral_instruction_1,邀请您联系Centiva,,,,"Invite your contact to Centiva"
referral_instruction_2,只需点击上面的链接进行复制，然后将其粘贴到邀请电子邮件或即时消息中即可发送给您的联系人,,,,"Just tap the link above to copy it and paste the link in an invitation email or instant message that you can send to your contact"
save_back_up_phrase_title,"保存备份短语 ",,,,"Save Backup Phrase "
save_mnemonic_description,"请将此助记符备份短语保存在安全的位置。如果您重新安装该应用程序，则需要密码来恢复您的钱包。 ",,,,"Please save this Mnemonic backup phrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app. "
save_passphrase_description,请复制您的备份密码并将其保存在安全的位置。如果您重新安装该应用程序，则需要密码来恢复您的钱包。,,,,"Please copy and save your backup passphrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app."
next_word_match,"下一页：单词匹配 ",,,,"Next: Word Match "
recipient,"接受者 ",,,,"Recipient "
hit_available_amount,"可用金额： ",,,,"Available Amount: "
tx_fee,"手续费： ",,,,"Transaction fee: "
xem_available,可用的XEM：,,,,"Available XEM:"
add_xem_to_your_wallet,"将XEM添加到您的钱包。请点击 ",,,,"Add XEM to your wallet. Click "
for_instruction,"有关说明。 ",,,,"for instructions. "
recipient_address_description,"收件人地址： ",,,,"Recipient address: "
transaction_summary,"交易摘要 ",,,,"Transaction summary "
sent_description,"已发送 ",,,,"Sent "
ok_cool_btn,"嗯不错！ ",,,,Ok
